Clean Alternative Fuel Vehicle Type,VIN (1-10),DOL Vehicle ID,Model Year,Make,Model,Primary Use,Electric Range,New or Used Vehicle,Transaction Type,Transaction Date,Year,County,City,State,Postal Code
Battery Electric Vehicle (BEV),3FMTK3R76N,219653745,2022,FORD,Mustang Mach-E,Passenger,0,Used,Registration Renewal,September 12 2023,2023,Thurston,LACEY,WA,98516
Plug-in Hybrid Electric Vehicle (PHEV),1FMCU0EZ7N,209980039,2022,FORD,Escape,Passenger,38,New,Original Title,August 09 2022,2022,King,SEATTLE,WA,98116
Plug-in Hybrid Electric Vehicle (PHEV),JA4T5VA92R,261583066,2024,MITSUBISHI,Outlander,Passenger,38,New,Original Registration,April 11 2024,2024,King,SEATTLE,WA,98118
Plug-in Hybrid Electric Vehicle (PHEV),KNAGV4LD5L,251968244,2020,KIA,Optima,Passenger,28,Used,Original Title,September 12 2023,2023,King,SEATTLE,WA,98103
Battery Electric Vehicle (BEV),KM8K33AG7N,229841629,2022,HYUNDAI,Kona Electric,Passenger,0,Used,Original Registration,February 14 2023,2023,Island,OAK HARBOR,WA,98277
Plug-in Hybrid Electric Vehicle (PHEV),WP1AE2AY2N,199450695,2022,PORSCHE,Cayenne,Passenger,16,New,Original Registration,May 13 2022,2022,King,SHORELINE,WA,98177
Battery Electric Vehicle (BEV),1G1FW6S02K,258151155,2019,CHEVROLET,Bolt EV,Passenger,238,Used,Original Title,November 28 2023,2023,King,SEATTLE,WA,98136
Plug-in Hybrid Electric Vehicle (PHEV),YH4K12AA9C,197643344,2012,FISKER,Karma,Passenger,33,Used,Original Registration,April 07 2022,2022,Clark,VANCOUVER,WA,98683
Battery Electric Vehicle (BEV),LPSEG3KA1N,202805235,2022,POLESTAR,PS2,Passenger,0,New,Original Title,June 02 2022,2022,King,SEATTLE,WA,98118
Plug-in Hybrid Electric Vehicle (PHEV),YV4H60LE8R,262660317,2024,VOLVO,XC90,Passenger,32,New,Original Title,March 29 2024,2024,Kitsap,PORT ORCHARD,WA,98366
Battery Electric Vehicle (BEV),WA1DCBGE2R,258877587,2024,AUDI,SQ8,Passenger,0,New,Original Title,January 11 2024,2024,King,SEATTLE,WA,98112
Plug-in Hybrid Electric Vehicle (PHEV),WA1F2AFY0N,211900825,2022,AUDI,Q5,Passenger,23,Used,Original Registration,July 23 2022,2022,King,SEATTLE,WA,98103
Battery Electric Vehicle (BEV),WBY53EJ0XP,262735252,2023,BMW,i7,Passenger,0,Used,Original Title,February 06 2024,2024,King,SEATTLE,WA,98136
